rank,crime_count,latitude,longitude
1,1849,40.7502,-73.9904
2,1794,40.6795,-73.7768
3,1736,40.7903,-73.8846
4,1288,40.7567,-73.9895
5,1072,40.8374,-73.9189
6,822,40.7569,-73.9869
7,799,40.7336,-73.8705
8,749,40.8077,-73.9463
9,692,40.6916,-73.9865
10,690,40.6706,-73.8818
11,674,40.737,-73.9841
12,669,40.7352,-73.9906
13,656,40.7101,-74.0096
14,643,40.8157,-73.9179
15,634,40.8096,-73.9254
16,612,40.7571,-73.875
17,612,40.8696,-73.8801
18,611,40.8872,-73.8466
19,598,40.7523,-73.9927
20,595,40.8106,-73.9518
21,572,40.8038,-73.9381
22,556,40.6509,-73.8689
23,552,40.6837,-73.9778
24,549,40.5767,-73.9765
25,540,40.7646,-73.9856
26,535,40.7899,-73.947
27,534,40.823,-73.8691
28,523,40.8743,-73.9088
29,520,40.8294,-73.9377
30,514,40.6773,-73.8272
31,513,40.7532,-73.9955
32,507,40.7595,-73.8299
33,501,40.7168,-74.0015
34,500,40.6229,-74.1503
35,478,40.6317,-73.9467
36,475,40.7245,-73.9984
37,473,40.8001,-73.9415
38,471,40.7581,-73.8345
39,462,40.7979,-73.9423
40,456,40.8016,-73.9491
41,450,40.6105,-73.9221
42,444,40.7589,-73.9897
43,439,40.7617,-73.9674
44,438,40.7635,-73.9735
45,437,40.794,-73.944
46,433,40.8157,-73.9083
47,428,40.7687,-73.9151
48,424,40.8541,-73.9012
49,422,40.7503,-73.9872
50,417,40.6951,-73.9823
51,416,40.7797,-73.9554
52,412,40.8313,-73.8271
53,407,40.7671,-73.982
54,405,40.8685,-73.8227
55,401,40.758,-73.9781
56,400,40.8559,-73.8433
57,398,40.796,-73.9333
58,398,40.8152,-73.9569
59,392,40.8618,-73.8917
60,386,40.7193,-73.9887
61,385,40.8522,-73.9216
62,384,40.8072,-73.9195
63,382,40.8497,-73.9054
64,378,40.7069,-73.7919
65,370,40.7031,-73.7994
66,370,40.6029,-73.7496
67,369,40.7203,-74.0061
68,368,40.8359,-73.9077
69,368,40.7954,-73.9664
70,367,40.8152,-73.9445
71,366,40.743,-73.9549
72,363,40.7215,-73.9885
73,361,40.6926,-73.9911
74,360,40.7443,-74.0056
75,357,40.7888,-73.9411
76,357,40.748,-73.9859
77,357,40.7591,-73.9859
78,356,40.7616,-73.8271
79,355,40.6681,-73.9305
80,354,40.7601,-73.9926
81,348,40.6993,-73.8311
82,347,40.8112,-73.9359
83,347,40.7996,-73.9511
84,345,40.8101,-73.949
85,343,40.7189,-74.0012
86,343,40.6904,-73.9841
87,341,40.6703,-73.9139
88,341,40.8272,-73.9252
89,341,40.8825,-73.9025
90,340,40.821,-73.9426
91,338,40.6897,-73.9594
92,338,40.8194,-73.9396
93,337,40.839,-73.9128
94,335,40.7521,-73.9829
95,334,40.822,-73.9121
96,334,40.8161,-73.8964
97,331,40.7399,-74.0017
98,331,40.8627,-73.8971
99,329,40.7787,-73.9824
100,327,40.6827,-73.9756
